ADDRESS,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08
"102051043","01"," "," "," "," "," ","0000300000"
"102051044","01"," "," "," "," "," ","0000200000"
"102051045","01","0023750000"," "," "," "," ","0000200000"
"102052036","01"," "," "," "," "," ","0004500000"
"102052037","01"," ","0025200000"," "," "," ","0001200000"
"102052038","01"," ","0011000000"," "," "," ","0000400000"
"102052041","01"," "," "," "," "," ","0001850000"
"102052042","01","0033850000"," "," "," "," "," "
"102052043","01"," ","0006000000"," ","0051000000"," "," "
"102052044","01"," "," "," "," "," ","0005500000"
"102053036","01"," "," "," "," "," ","0002400000"
"102053037","01"," ","0018000000"," "," ","0003457000"," "
"102053038","01"," "," "," "," "," ","0000370000"
"102053039","01"," "," "," "," "," ","0003270000"
"102053040","01"," "," "," "," "," ","0002570000"
"102054036","01"," "," "," "," "," ","0000300000"
"102054037","01","0032625200"," "," "," "," "," "
"102054037","02","0077798100"," "," "," "," "," "
"102054038","01","0027550000"," ","0007200000"," "," "," "
"102054039","01","0035197200"," "," "," "," "," "
"102054039","02","0026946040"," "," "," "," "," "
"102061047","01"," "," "," "," "," ","0000300000"
"102061047","02"," "," "," "," "," ","0006000000"
"102061048","01","0029350000"," "," "," "," ","0000300000"
"102061048","02","0020230000"," "," "," "," "," "
"102061049","01"," ","0018000000"," "," ","0006000000","0001500000"
"102061050","01"," "," "," "," "," ","0000200000"
"102063041","01"," ","0007600000"," "," "," ","0000350000"
"102063042","01"," "," "," "," ","0002200000","0000250000"
"102063043","01"," "," "," "," "," ","0003250000"
"102063043","02"," "," "," "," ","0000400000"," "
"102063045","01"," ","0009000000"," "," "," "," "
"102064041","01"," "," "," "," "," ","0002570000"
"102064042","01"," "," "," "," "," ","0001520000"
"102064043","01"," "," "," "," "," ","0001250000"
"102064044","01"," "," "," "," "," ","0000355000"
"102064045","01","0023000000"," "," "," "," ","0003520000"
"102071051","01"," ","0010800000"," "," "," ","0000120000"
"102071052","01"," "," "," "," "," ","0000200000"
"102071053","01"," "," "," "," "," ","0000150000"
"102071054","01"," "," "," "," "," ","0000210000"
"102071056","01"," "," "," "," "," ","0000220000"
"102071057","01","0018415000"," "," "," "," "," "
"102071057","02","0016178000"," "," "," "," "," "
"102071058","01","0017400000"," "," "," "," "," "
"102071058","02","0015000000"," "," "," "," "," "
"102071059","01","0016370000"," "," "," "," "," "
