ADDRESS,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08
"001084062","01"," ","0003080000"," "," "," "," "
"001084065","01"," "," "," ","0006350000"," "," "
"001084066","01"," "," "," ","0005200000"," "," "
"001084068","01"," "," "," ","0005600000"," "," "
"001084069","04"," "," "," ","0004200000"," "," "
"001084070","01"," ","0004500000"," "," "," "," "
"001091078","05"," "," "," ","0001600000"," "," "
"001092071","01"," ","0003612000"," ","0020000000"," "," "
"001092072","01"," "," "," ","0003190000"," "," "
"001092073","01"," "," "," "," "," ","0002000000"
"001092074","01","0031300000"," "," "," "," "," "
"001092076","01"," "," "," "," "," ","0002000000"
"001092076","02"," "," "," "," "," ","0001500000"
"001093071","01","0020950000"," ","0003360000"," "," "," "
"001093075","03"," "," "," ","0005750000"," "," "
"001093079","01","0035350000"," "," "," "," "," "
"001093080","01"," ","0001089000"," ","0006150000"," "," "
"001094071","01"," "," "," ","0003940000"," "," "
"001094072","02"," "," "," ","0004300000"," ","0000500000"
"001094074","01"," "," "," ","0004020000"," "," "
"001101083","01"," ","0001800000"," "," "," ","0002000000"
"001101085","01"," ","0004000000"," ","0002700000"," "," "
"001101085","02"," "," "," ","0002700000"," "," "
"001102082","01"," "," "," "," "," ","0024000000"
"001102085","01"," "," "," ","0014100000"," "," "
"001103082","01"," "," "," ","0004500000"," "," "
"001104076","01"," "," "," "," ","0002400000"," "
"001104080","01"," "," "," "," ","0001875000"," "
"001104082","01"," "," "," ","0003000000","0000600000"," "
"001104083","01"," "," "," ","0023350000"," "," "
"001104083","05"," ","0001800000"," ","0003000000"," "," "
"001111086","01"," "," "," ","0003500000"," "," "
"001111087","01"," ","0001600000"," ","0003900000"," "," "
"001111088","06","0018550000"," "," "," "," "," "
"001111090","01","0031750000"," "," "," "," "," "
"001111095","01","0016150000","0002000000"," "," "," "," "
"001112086","01"," "," "," ","0006550000"," "," "
"001112088","05"," "," "," ","0003550000"," "," "
"001112090","01","0016990000"," "," "," "," "," "
"001112092","01"," ","0001300000"," ","0003550000"," "," "
"001112095","04"," "," "," ","0003010000"," "," "
"001113086","01"," "," "," ","0002100000"," "," "
"001113087","01"," ","0003900000"," "," "," "," "
"001113089","01"," "," "," ","0003750000"," ","0001000000"
"001113090","01"," ","0002750000"," ","0003600000"," "," "
"001113093","01"," ","0003000000"," ","0002400000"," "," "
"001113094","01","0","0009600000"," ","0005350000"," "," "
"001114087","01","0","0012000000"," ","0004800000"," "," "
"001114088","03"," "," "," "," ","0002500000"," "
"001114090","01"," ","0007000000"," "," "," "," "
"001114091","01"," "," "," "," "," ","0008400000"
"001121096","02"," "," "," "," ","0000700000"," "
"001121098","01"," "," "," ","0003580000"," "," "
"001121100","01"," "," "," ","0001600000"," "," "
"001121101","01"," "," "," "," ","0000200000"," "
"001121103","06"," "," "," ","0003800000"," "," "
"001122096","01"," "," "," ","0006550000"," ","0001800000"
"001122097","01"," "," "," ","0005900000"," "," "
"001122098","01"," ","0010290000"," ","0003860000"," "," "
"001122099","01"," "," "," ","0003900000"," "," "
"001122100","01"," ","0003124000"," "," "," "," "
"001123096","04"," "," "," ","0001600000"," "," "
"001124096","01"," "," "," "," "," ","0024000000"
"001124098","01"," "," "," ","0004420000"," "," "
"001124099","01"," ","0000600000"," "," "," "," "
"001124100","01"," ","0002000000"," ","0003540000"," "," "
"001133103","01"," "," "," ","0002800000"," "," "
